Размер,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Модель,Винтаж,Наличие коробки,Наличие сертификата,Ценовая категория,Метод производства,Легенда,Цена
INT U,Сумки через плечо,LANCASTER,Кожа,Золотой,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,36800
INT XS,Сумки через плечо,SAINT LAURENT,Кожа,Черный,Длинный ремень,1,Хорошее состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,76500
INT S,Сумки через плечо,MIU MIU,Другое,Другое,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,225000
INT S,Сумки через плечо,FENDI,Другое,Бежевый,Длинный ремень,0,Отличное состояние,Ordinary,1,0,0,Люксовые,Сделанные вручную,0,51000
INT S,Клатчи и вечерние сумки,ALEXANDER MCQUEEN,Другое,Розовый,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,407000
INT M,Сумки с короткими ручками,CELINE PRE-OWNED,Кожа,Горчичный,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,225000
INT S,Сумки с короткими ручками,BALENCIAGA,Кожа,Другое,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,200000
INT XL,Сумки тоут,BALENCIAGA,Кожа,Бежевый,Средние ручки,1,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,87500
INT M,Сумки с короткими ручками,MULBERRY,Кожа,Зеленый,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,55000
INT S,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Кожа,Розовый,Длинный ремень,1,Новое с биркой,Ordinary,0,1,0,Люксовые,Сделанные вручную,0,160000
INT M,Сумки тоут,LOUIS VUITTON PRE-OWNED,Кожа,Коричневый,Короткие ручки,0,Хорошее состояние,Ordinary,1,0,0,Люксовые,Произведенные на фабрике,0,37000
INT M,Сумки через плечо,SEE BY CHLOE,Кожа,Коралловый,Длинный ремень,1,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,25000
INT U,Сумки через плечо,RED VALENTINO,Кожа,Бордовый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,17000
INT S,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Коричневый,Короткие ручки,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,65000
INT M,Сумки через плечо,BVLGARI,Кожа,Черный,Средние ручки,1,Хорошее состояние,Ordinary,1,0,0,Экстремально люксовые,Произведенные на фабрике,0,45000
INT U,Сумки тоут,MARC JACOBS,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,62000
INT S,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Экзотическая кожа,Черный,Короткие ручки,0,Отличное состояние,Lady,0,0,0,Люксовые,Сделанные вручную,1,430000
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Голубой,Короткие ручки,0,Отличное состояние,Kelly,0,0,0,Экстремально люксовые,Сделанные вручную,1,445000
INT S,Сумки с короткими ручками,VALENTINO,Кожа,Черный,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,200000
INT L,Сумки через плечо,VERSACE,Кожа,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,70000
INT M,Сумки через плечо,GUCCI,Другое,Синий,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,70000
INT XS,Сумки с короткими ручками,MIU MIU,Другое,Другое,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,90000
INT XS,Клатчи и вечерние сумки,LANVIN,Другое,Черный,Короткие ручки,0,Хорошее состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,16000
INT M,Сумки тоут,CHRISTIAN DIOR PRE-OWNED,Деним,Темно-синий,Средние ручки,1,Хорошее состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,49000
INT S,Пляжные сумки,DOLCE&GABBANA,Плетение,Другое,Короткие ручки,1,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,93750
INT M,Сумки тоут,MAX MARA,Кожа,Белый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,37000
INT U,Сумки через плечо,DOLCE&GABBANA,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,78800
INT U,Рюкзаки,MARC JACOBS,Кожа,Фуксия,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,46800
INT S,Сумки через плечо,VERSACE,Кожа,Белый,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,47500
INT XS,Поясные сумки,DOLCE & GABBANA VINTAGE,Кожа,Фуксия,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,18000
INT U,Сумки через плечо,SALVATORE FERRAGAMO,Кожа,Бордовый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,69900
INT M,Сумки тоут,CELINE PRE-OWNED,Кожа,Черный,Короткие ручки,1,Отличное состояние,Ordinary,0,0,1,Люксовые,Произведенные на фабрике,0,155000
INT S,Сумки с короткими ручками,MIU MIU,Кожа,Черный,Короткие ручки,1,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,195000
INT U,Сумки через плечо,SALVATORE FERRAGAMO,Кожа,Красный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,64800
INT S,Сумки через плечо,EERA,Другое,Белый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,72000
INT S,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Кожа,Черный,Длинный ремень,0,Отличное состояние,Lady,0,0,0,Люксовые,Сделанные вручную,1,395000
INT U,Сумки через плечо,SALVATORE FERRAGAMO,Кожа,Розовый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,69900
INT U,Сумки через плечо,MIU MIU,Плетение,Голубой,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,203823
INT M,Сумки с короткими ручками,CHANEL PRE-OWNED,Мех,Черный,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,569000
INT XS,Клатчи и вечерние сумки,CHANEL PRE-OWNED,Хлопок,Черный,Длинный ремень,0,Отличное состояние,Classic,0,0,0,Люксовые,Произведенные на фабрике,1,230000
INT U,Сумки через плечо,MIU MIU,Другое,Коралловый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,154412
INT M,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Черный,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,380000
INT S,Клатчи и вечерние сумки,VALENTINO,Кожа,Мульти,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,32800
INT U,Рюкзаки,MARC JACOBS,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,66800
INT U,Сумки тоут,BOTTEGA VENETA,Кожа,Бордовый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,239000
INT S,Поясные сумки,GUCCI,Бархат,Черный,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,49500
INT U,Сумки через плечо,SALVATORE FERRAGAMO,Кожа,Белый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,95000
INT U,Сумки тоут,SALVATORE FERRAGAMO,Кожа,Мульти,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,90000
INT U,Сумки через плечо,LOEWE,Кожа,Серый,Длинный ремень,1,Новое с биркой,Ordinary,0,1,0,Люксовые,Сделанные вручную,0,285000
INT S,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Фуксия,Средние ручки,1,Отличное состояние,Ordinary,0,1,0,Экстремально люксовые,Сделанные вручную,0,495000
INT U,Сумки через плечо,SALVATORE FERRAGAMO,Кожа,Белый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,135000
INT S,Клатчи и вечерние сумки,FENDI,Мех,Другое,Короткие ручки,0,Отличное состояние,Ordinary,1,0,0,Люксовые,Сделанные вручную,0,300000
INT XS,Сумки через плечо,GUCCI,Деним,Бежевый,Длинный ремень,1,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,313340
INT U,Сумки через плечо,SALVATORE FERRAGAMO,Кожа,Бежевый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,135000
INT M,Сумки через плечо,GUCCI,Деним,Голубой,Длинный ремень,1,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,163340
INT S,Сумки через плечо,CHANEL PRE-OWNED,Деним,Темно-синий,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,160000
INT U,Сумки тоут,VERSACE,Другое,Фуксия,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,64800
INT U,Сумки через плечо,DOLCE&GABBANA,Кожа,Розовый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,109500
INT M,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Белый,Длинный ремень,1,Хорошее состояние,Classic,0,0,0,Люксовые,Произведенные на фабрике,1,199000
INT XS,Сумки через плечо,DIESEL,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,43000
INT U,Сумки через плечо,DOLCE&GABBANA,Кожа,Розовый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,139900
INT S,Сумки через плечо,GUCCI,Кожа,Белый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,205000
INT S,Сумки с короткими ручками,GUCCI,Кожа,Бежевый,Короткие ручки,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,33500
INT U,Сумки через плечо,DOLCE&GABBANA,Кожа,Голубой,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,98800
INT S,Сумки через плечо,BURBERRY,Кожа,Коричневый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,95000
INT M,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Черный,Длинный ремень,1,Отличное состояние,Boy,0,1,1,Люксовые,Произведенные на фабрике,1,220000
INT U,Сумки с короткими ручками,DOLCE&GABBANA,Кожа,Розовый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,112500
INT U,Рюкзаки,MONCLER,Кожа,Бежевый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,44800
INT M,Сумки через плечо,BALMAIN,Кожа,Бордовый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,88000
INT S,Клатчи и вечерние сумки,BALENCIAGA,Кожа,Антрацит,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,235000
INT U,Сумки с короткими ручками,DOLCE&GABBANA,Кожа,Бордовый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,136500
INT XL,Сумки тоут,CALVIN KLEIN,Искусственная кожа,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,14900
INT S,Клатчи и вечерние сумки,DOLCE&GABBANA,Кожа,Черный,Длинный ремень,1,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,60000
INT U,Сумки через плечо,DOLCE&GABBANA,Кожа,Красный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,116800
INT S,Сумки через плечо,MARC JACOBS,Кожа,Черный,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,23500
INT S,Сумки через плечо,PINKO,Кожа,Другое,Длинный ремень,1,Новое с биркой,Ordinary,0,1,0,Доступные,Произведенные на фабрике,0,30500
INT U,Сумки через плечо,VALENTINO,Другое,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,161530
INT U,Сумки тоут,MIU MIU,Другое,Голубой,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,154500
INT S,Сумки тоут,FURLA,Кожа,Бежевый,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,19500
INT M,Сумки через плечо,GOYARD,Искусственная кожа,Коричневый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,213340
INT U,Сумки тоут,MIU MIU,Другое,Темно-синий,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,203900
INT U,Сумки с короткими ручками,THE VOLON,Кожа,Зеленый,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,44000
INT U,Дорожные и спортивные сумки,JORDAN,Другое,Другое,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,21990
INT U,Сумки тоут,MIU MIU,Плетение,Бежевый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,142100
INT M,Сумки через плечо,MICHAEL KORS,Кожа,Темно-синий,Длинный ремень,1,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,30000
INT M,Рюкзаки,TWIN-SET,Синтетика,Бежевый,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,10500
INT U,Сумки через плечо,MIU MIU,Ткань,Бежевый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,80300
INT U,Сумки тоут,MIU MIU,Плетение,Мульти,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,234800
INT S,Сумки через плечо,BOTTEGA VENETA,Замша,Салатовый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,210000
INT M,Сумки тоут,COCCINELLE,Кожа,Черный,Короткие ручки,1,Новое с биркой,Ordinary,0,0,1,Доступные,Произведенные на фабрике,0,44450
INT U,Сумки через плечо,MIU MIU,Ткань,Бежевый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,197700
INT M,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Другое,Фиолетовый,Короткие ручки,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,45000
INT XS,Сумки через плечо,GUCCI,Кожа,Бежевый,Длинный ремень,1,Отличное состояние,Ordinary,0,0,1,Люксовые,Завершенные вручную,0,175000
INT U,Сумки тоут,MIU MIU,Плетение,Бежевый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,97600
INT M,Сумки с короткими ручками,PRADA,Лакированная кожа,Коричневый,Короткие ручки,0,Отличное состояние,Ordinary,1,0,0,Люксовые,Произведенные на фабрике,0,200000
INT U,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Оранжевый,Средние ручки,0,Хорошее состояние,Birkin,0,0,0,Экстремально люксовые,Сделанные вручную,1,725000
INT U,Сумки через плечо,PRADA,Кожа,Белый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,307619
INT U,Сумки через плечо,PRADA,Кожа,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,307619
INT L,Сумки тоут,LOVE MOSCHINO,Искусственная кожа,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,22450
INT M,Сумки через плечо,MIU MIU,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,180000
INT U,Сумки через плечо,MIU MIU,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,153810
INT U,Сумки тоут,SAINT LAURENT,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,230714
INT S,Сумки через плечо,MIU MIU,Кожа,Серый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,209000
INT M,Сумки тоут,DKNY,Кожа,Черный,Длинный ремень,1,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,13000
INT U,Сумки через плечо,SAINT LAURENT,Другое,Бежевый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,148750
INT M,Сумки с короткими ручками,BALENCIAGA,Кожа,Коричневый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,155000
INT S,Сумки с короткими ручками,PRADA,Другое,Черный,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,36000
INT U,Сумки через плечо,SAINT LAURENT,Кожа,Черный,Средние ручки,0,Новое с биркой,Le 5 a 7,0,0,0,Люксовые,Завершенные вручную,1,235714
INT S,Сумки через плечо,MIU MIU,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,152000
INT XS,Сумки тоут,MIU MIU,Ткань,Другое,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,259000
INT U,Сумки тоут,SAINT LAURENT,Другое,Бежевый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,317262
INT M,Сумки тоут,LOUIS VUITTON PRE-OWNED,Другое,Бежевый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,196412
INT S,Сумки с короткими ручками,RALPH LAUREN,Кожа,Черный,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,12100
INT S,Сумки через плечо,COACH,Кожа,Коричневый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,32000
INT U,Сумки тоут,SAINT LAURENT,Другое,Бежевый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,142500
INT XS,Клатчи и вечерние сумки,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,90000
INT S,Сумки через плечо,FURLA,Кожа,Голубой,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,15000
INT XS,Сумки с короткими ручками,CHANEL PRE-OWNED,Кожа,Белый,Короткие ручки,0,Новое с биркой,WOC,0,0,0,Люксовые,Произведенные на фабрике,1,537000
INT S,Сумки через плечо,BOTTEGA VENETA,Замша,Зеленый,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,180000
INT U,Сумки тоут,LOEWE,Кожа,Коричневый,Средние ручки,0,Хорошее состояние,Ordinary,1,0,0,Люксовые,Сделанные вручную,0,29000
INT M,Сумки тоут,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,196412
INT M,Сумки тоут,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,196412
INT M,Рюкзаки,CHANEL PRE-OWNED,Кожа,Бордовый,Длинный ремень,1,Отличное состояние,Ordinary,0,1,1,Люксовые,Произведенные на фабрике,0,200000
INT XS,Клатчи и вечерние сумки,BURBERRY,Кожа,Бежевый,Средние ручки,0,Хорошее состояние,Ordinary,1,0,0,Люксовые,Произведенные на фабрике,0,20000
INT U,Поясные сумки,GUCCI,Кожа,Мульти,Длинный ремень,1,Новое с биркой,Ordinary,0,0,1,Люксовые,Завершенные вручную,0,129990
INT S,Сумки через плечо,KARL LAGERFELD,Кожа,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,1,Доступные,Произведенные на фабрике,0,23000
INT M,Сумки через плечо,COACH,Ткань,Бежевый,Средние ручки,1,Отличное состояние,Ordinary,1,0,0,Дорогие,Произведенные на фабрике,0,11300
INT U,Сумки через плечо,GIVENCHY,Деним,Голубой,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,273810
INT M,Сумки с короткими ручками,BURBERRY,Другое,Другое,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,170000
INT XS,Сумки с короткими ручками,DIESEL,Хлопок,Зеленый,Средние ручки,1,Новое с биркой,Ordinary,0,1,0,Дорогие,Произведенные на фабрике,0,60000
INT S,Сумки через плечо,TOD'S,Кожа,Белый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,55000
INT XS,Сумки через плечо,BOTTEGA VENETA,Кожа,Черный,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,60000
INT M,Сумки тоут,JIMMY CHOO,Другое,Бежевый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,155300
INT M,Сумки тоут,COCCINELLE,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,15000
INT S,Сумки через плечо,KARL LAGERFELD,Искусственная кожа,Голубой,Длинный ремень,1,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,21000
INT U,Сумки через плечо,GUCCI,Другое,Коричневый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,131250
INT M,Сумки через плечо,LOVE MOSCHINO,Другое,Черный,Длинный ремень,1,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,13000
INT S,Сумки через плечо,MARC JACOBS,Лакированная кожа,Фуксия,Длинный ремень,0,Отличное состояние,Ordinary,0,0,1,Дорогие,Произведенные на фабрике,0,35000
INT U,Сумки с короткими ручками,FENDI,Кожа,Серый,Короткие ручки,1,Новое с биркой,Ordinary,0,0,1,Люксовые,Сделанные вручную,0,673900
INT U,Сумки с короткими ручками,FENDI,Кожа,Бежевый,Короткие ручки,1,Новое с биркой,Ordinary,0,0,1,Люксовые,Сделанные вручную,0,673900
INT U,Сумки с короткими ручками,FENDI,Кожа,Коричневый,Короткие ручки,1,Новое с биркой,Ordinary,0,0,1,Люксовые,Сделанные вручную,0,594900
INT U,Сумки с короткими ручками,FENDI,Кожа,Черный,Короткие ручки,1,Новое с биркой,Ordinary,0,0,1,Люксовые,Сделанные вручную,0,509900
INT S,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Черный,Длинный ремень,1,Отличное состояние,Coco Handle,0,0,0,Люксовые,Произведенные на фабрике,1,850000
INT S,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Черный,Длинный ремень,1,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,155000
INT M,Сумки с короткими ручками,MAX MARA,Кожа,Черный,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,39000
INT L,Сумки с короткими ручками,SALVATORE FERRAGAMO,Кожа,Черный,Средние ручки,1,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,45000
INT S,Сумки через плечо,HERMES PRE-OWNED,Кожа,Оранжевый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Экстремально люксовые,Сделанные вручную,0,370000
INT S,Сумки через плечо,BALENCIAGA,Кожа,Другое,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,190000
INT M,Сумки через плечо,BALENCIAGA,Кожа,Другое,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,175000
INT M,Сумки через плечо,CELINE PRE-OWNED,Кожа,Другое,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,275000
INT M,Сумки с короткими ручками,BURBERRY,Другое,Другое,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,170000
INT XS,Сумки с короткими ручками,DIESEL,Хлопок,Зеленый,Средние ручки,1,Новое с биркой,Ordinary,0,1,0,Дорогие,Произведенные на фабрике,0,60000
INT S,Сумки через плечо,TOD'S,Кожа,Белый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,55000
INT XS,Сумки через плечо,BOTTEGA VENETA,Кожа,Черный,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,60000
INT M,Сумки тоут,JIMMY CHOO,Другое,Бежевый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,155300
INT M,Сумки тоут,COCCINELLE,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,15000
INT S,Сумки через плечо,KARL LAGERFELD,Искусственная кожа,Голубой,Длинный ремень,1,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,21000
INT U,Сумки через плечо,GUCCI,Другое,Коричневый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,131250
INT M,Сумки через плечо,LOVE MOSCHINO,Другое,Черный,Длинный ремень,1,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,13000
INT S,Сумки через плечо,MARC JACOBS,Лакированная кожа,Фуксия,Длинный ремень,0,Отличное состояние,Ordinary,0,0,1,Дорогие,Произведенные на фабрике,0,35000
INT U,Сумки с короткими ручками,FENDI,Кожа,Серый,Короткие ручки,1,Новое с биркой,Ordinary,0,0,1,Люксовые,Сделанные вручную,0,673900
INT U,Сумки с короткими ручками,FENDI,Кожа,Бежевый,Короткие ручки,1,Новое с биркой,Ordinary,0,0,1,Люксовые,Сделанные вручную,0,673900
INT U,Сумки с короткими ручками,FENDI,Кожа,Коричневый,Короткие ручки,1,Новое с биркой,Ordinary,0,0,1,Люксовые,Сделанные вручную,0,594900
