Размер,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Модель,Винтаж,Наличие коробки,Наличие сертификата,Ценовая категория,Метод производства,Легенда,Цена
INT XS,Сумки с короткими ручками,WANDLER,Кожа,Красный,Длинный ремень,1,Отличное состояние,Ordinary,0,1,0,Доступные,Произведенные на фабрике,0,36000
INT S,Сумки тоут,DOLCE&GABBANA,Кожа,Красный,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,25000
INT U,Сумки через плечо,VERSACE JEANS COUTURE,Искусственная кожа,Коричневый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,27930
INT U,Сумки тоут,PINKO,Кожа,Бежевый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,45430
INT M,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Кожа,Черный,Длинный ремень,0,Хорошее состояние,Diorama,0,0,0,Люксовые,Сделанные вручную,1,144000
INT XS,Сумки через плечо,YUZEFI,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,36900
INT U,Сумки тоут,PINKO,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,45430
INT XS,Сумки с короткими ручками,COACH,Кожа,Бежевый,Средние ручки,1,Отличное состояние,Ordinary,0,0,1,Дорогие,Произведенные на фабрике,0,27000
INT S,Сумки через плечо,VALENTINO,Кожа,Черный,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,50000
INT U,Рюкзаки,PINKO,Кожа,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,44030
INT M,Сумки с короткими ручками,JIL SANDER,Кожа,Зеленый,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,17000
INT M,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Другое,Черный,Короткие ручки,0,Хорошее состояние,Alma,1,0,0,Люксовые,Произведенные на фабрике,1,45000
INT U,Сумки через плечо,PINKO,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,41930
INT U,Сумки тоут,EMPORIO ARMANI,Искусственная кожа,Синий,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,26530
INT L,Сумки с короткими ручками,LOEWE,Кожа,Серебряный,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,12000
